id,name,image,preview,duration,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,chord,published
0IUAugkLGELvtFJfzPn2vi,Drunk Girls,https://i.scdn.co/image/ab67616d0000b273ee0d0dce888c6c8a70db6e8b,https://p.scdn.co/mp3-preview/6eca992763948ba844ea5c26de5169e219558a17?cid=9950ac751e34487dbbe027c4fd7f8e99,222106,0,48,0.599,0.878,-7.759,0.0387,0.000259,0.0258,0.0829,0.814,144.029,4,2010-05-17
7wLK9PAeZMBDVKsm7ptOMn,positions,https://i.scdn.co/image/ab67616d0000b2730ab92ff1d71a021208f3b512,,172324,0,0,0.734,0.806,-4.82,0.0881,0.457,0,0.0936,0.616,144.028,5,2020-10-23
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),https://i.scdn.co/image/ab67616d0000b273bf01fd0986a195d485922167,https://p.scdn.co/mp3-preview/e88548073883ae36ba42ee5f1d1096568e417737?cid=9950ac751e34487dbbe027c4fd7f8e99,173333,0,84,0.726,0.431,-8.765,0.135,0.731,0,0.696,0.348,144.026,8,2020-02-08
3m660poUr1chesgkkjQM7P,Sorry Not Sorry,https://i.scdn.co/image/ab67616d0000b273ec9c72308e30e7aa1d22b37d,,203760,1,0,0.704,0.633,-6.923,0.241,0.0214,0,0.29,0.863,144.021,11,2017-09-29
1ML2r3gzmd9776dmnlGYlh,Hands Of Love,https://i.scdn.co/image/ab67616d0000b273c52076a2075b0885187deb21,https://p.scdn.co/mp3-preview/0ae2a0d17bdfec8fa5d75db8fe9efb27d054e129?cid=9950ac751e34487dbbe027c4fd7f8e99,229386,0,49,0.442,0.542,-7.356,0.033,0.38,0.000117,0.085,0.139,144.006,0,2015-10-02
7igeByaBM0MgGsgXtNxDJ7,positions,https://i.scdn.co/image/ab67616d0000b2737368325f5998ef48d4fb5401,,172324,1,2,0.736,0.802,-4.759,0.0864,0.468,0,0.094,0.675,144.005,0,2020-10-23
4dnmtQPnXU993aEUGp0bY8,drivers license,https://i.scdn.co/image/ab67616d0000b2736706e5eb10e78abc89efa686,https://p.scdn.co/mp3-preview/3a23122de98505e9b2574822d604322076065243?cid=9950ac751e34487dbbe027c4fd7f8e99,242013,0,22,0.575,0.425,-8.821,0.055,0.739,0.0000148,0.112,0.15,144.004,10,2021-01-08
0mYPfHvPzoUZJ2puHRyzyf,Here Without You,https://i.scdn.co/image/ab67616d0000b273389e79cf163effd9a62bc9de,,238560,0,0,0.551,0.543,-6.765,0.0249,0.0587,0,0.131,0.213,144.001,10,2002-11-12
2Gk1zc6mO5Pw1Z1P6bozKE,Sweet Talker,https://i.scdn.co/image/ab67616d0000b27301b57b2d37dad2a9e1fb10b9,,222213,0,0,0.649,0.659,-5.331,0.066,0.59,0,0.197,0.574,144,4,2014-10-10
57SpKmvGL4vlme4qxVoMzk,Jumpstart,https://i.scdn.co/image/ab67616d0000b27334caad757b9dfe2ecd958aea,https://p.scdn.co/mp3-preview/4c11196e3de081278fb6763fe817f4b2b8822012?cid=9950ac751e34487dbbe027c4fd7f8e99,208586,0,42,0.575,0.959,-3.695,0.0633,0.0039,0.0000428,0.294,0.864,143.999,9,2011
3NLrRZoMF0Lx6zTlYqeIo4,Here Without You,https://i.scdn.co/image/ab67616d0000b27383c39b0d32eb4a2064e1e228,https://p.scdn.co/mp3-preview/9b68307f4204ff0342561d75a6c48312abb3e0d3?cid=9950ac751e34487dbbe027c4fd7f8e99,238733,0,80,0.557,0.533,-6.817,0.0252,0.0492,0,0.205,0.233,143.994,10,2002-11-12
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,https://p.scdn.co/mp3-preview/5a0318e6c43964786d22b9431af35490e96cff3d?cid=9950ac751e34487dbbe027c4fd7f8e99,233478,0,91,0.726,0.698,-4.165,0.0431,0.049,0,0.309,0.867,143.994,5,2012-12-07
1qCdYQdkWvm4cYXAuOlbyc,Locked out of Heaven,https://i.scdn.co/image/ab67616d0000b2734afbeec18f65c3707207b7c9,https://p.scdn.co/mp3-preview/5a0318e6c43964786d22b9431af35490e96cff3d?cid=9950ac751e34487dbbe027c4fd7f8e99,233478,0,48,0.726,0.698,-4.165,0.0431,0.049,0,0.309,0.867,143.994,5,2012-12-10
7pszcrE10CThu1inqXw2R4,Nothing's Real but Love,https://i.scdn.co/image/ab67616d0000b273af3b37c017ef8f022c102a1a,,173626,0,0,0.45,0.494,-5.368,0.0389,0.533,0.0000013,0.0517,0.354,143.988,8,2011
6YJUNqM5ZomJTrC5peDFXT,Ain't Got Far to Go,https://i.scdn.co/image/ab67616d0000b27363206b3659dd9055c39207b4,https://p.scdn.co/mp3-preview/858882e6e84971f5bbc5c4f26491f9b6e5596e48?cid=9950ac751e34487dbbe027c4fd7f8e99,203498,0,46,0.491,0.841,-4.696,0.0761,0.0033,0,0.547,0.615,143.974,5,2015
36AWdhZIGLUTkWpJDhe7va,2 Become 1,https://i.scdn.co/image/ab67616d0000b27363facc42e4a35eb3aa182b59,https://p.scdn.co/mp3-preview/9a55e5325cda82537d3f945796506fbb41b933d0?cid=9950ac751e34487dbbe027c4fd7f8e99,241026,0,69,0.646,0.665,-7.878,0.0268,0.326,0.0000197,0.238,0.7,143.966,6,1996-01-01
4GdYM1hIvRfK8keBF2eQ1a,Inside Out,https://i.scdn.co/image/ab67616d0000b2737c3b8acbb943c8da17364f34,https://p.scdn.co/mp3-preview/437f5251bcfbdadf4db969724a7e6af39ca63317?cid=9950ac751e34487dbbe027c4fd7f8e99,233573,0,42,0.549,0.652,-5.875,0.0311,0.00289,0.0000149,0.138,0.141,143.963,7,2016-11-04
45Egmo7icyopuzJN0oMEdk,Love Lies (with Normani),https://i.scdn.co/image/ab67616d0000b273dd7eaf261543814a6d715d67,https://p.scdn.co/mp3-preview/aa4f4d0898af5fc2f40c3c3dd1c1a0ece80df384?cid=9950ac751e34487dbbe027c4fd7f8e99,201707,0,76,0.708,0.648,-5.626,0.0449,0.0956,0,0.134,0.338,143.955,6,2018-02-14
